scope,pair,strategy,leader,follower,n_bars,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,turnover,n_trades
mega_vs_etf,TSLA/XLY,buy_hold_follower,TSLA,XLY,5078,0.42568757469728147,0.12120060135781374,0.20229013058921738,0.5991424347039996,-0.2634567837987565,0.5219376613063331,0.0,0
intra_sector,KO/PEP,spread_mr,KO,PEP,5078,-0.01569890588910272,-0.005091130096596119,0.0758234855385484,-0.0671445009476359,-0.10594045910688721,0.49593165174938975,165.0,165
intra_sector,KO/PEP,lead_lag,KO,PEP,5078,-0.5075097635113899,-0.20424873890619089,0.18362864557081343,-1.1122923565181209,-0.5152631798020066,0.4781922241957766,5153.0,2628
intra_sector,KO/PEP,buy_hold_follower,KO,PEP,5078,-0.20519783726152752,-0.07140409520540802,0.18394672464213957,-0.3881781279026393,-0.33421923816822663,0.5062363888338943,0.0,0
intra_sector,MA/V,spread_mr,MA,V,5078,0.09011580601857183,0.028223371691536325,0.04934402720440624,0.5719713872283225,-0.07177674781903576,0.5004488330341114,188.0,188
intra_sector,MA/V,lead_lag,MA,V,5078,-0.5551666394583392,-0.22994854844905788,0.1964425224005732,-1.170564018619967,-0.6078053685299795,0.4728636273929347,4987.0,2510
intra_sector,MA/V,buy_hold_follower,MA,V,5078,0.4501337410014161,0.12736634208793918,0.19701310132093544,0.6464866612117267,-0.21329251099108126,0.5163075706661395,0.0,0
intra_sector,GS/MS,spread_mr,GS,MS,5078,0.20688542701504598,0.06253402797428875,0.0701713509425206,0.8911618079793305,-0.08143369686422042,0.5125284738041003,174.0,174
intra_sector,GS/MS,lead_lag,GS,MS,5078,-0.7657929539328284,-0.3738863723077167,0.2907911212639684,-1.2857558053442693,-0.7846347890606422,0.466600790513834,5289.0,2649
intra_sector,GS/MS,buy_hold_follower,GS,MS,5078,1.3802589558487988,0.32277779191442724,0.2910775604875189,1.1089064762457619,-0.31478667843023167,0.522195798652398,0.0,0
intra_sector,HD/LOW,spread_mr,HD,LOW,5078,0.2204944617879705,0.06638414403297155,0.05141752421717041,1.2910801335472153,-0.049089290877900926,0.5075452716297787,179.0,179
intra_sector,HD/LOW,lead_lag,HD,LOW,5078,-0.7100996933402632,-0.3292840060111978,0.23626831342677815,-1.3936866998174349,-0.7421951027938196,0.4848006316620608,5223.0,2618
intra_sector,HD/LOW,buy_hold_follower,HD,LOW,5078,0.026555252473468238,0.008489949789569629,0.23662462443107457,0.035879401013239144,-0.2736057832992347,0.5039525691699605,0.0,0
intra_sector,AAPL/MSFT,spread_mr,AAPL,MSFT,5078,0.3505448802698534,0.10178796967889037,0.11046258645478074,0.9214700917813341,-0.0805892590948567,0.5082198215124472,149.0,149
intra_sector,AAPL/MSFT,lead_lag,AAPL,MSFT,5078,-0.6767667266656532,-0.30531870390731397,0.23947724571613235,-1.2749382639435718,-0.7261230784519062,0.46206896551724136,5145.0,2583
